Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uF,C_0805,84.99,-47.07,-90.0,top
C2,10uF,C_0805,79.01,-47.07,-90.0,top
C3,100nF,C_0603,74.1,-45.96,180.0,top
D1,Red,D_0603,82.67,-58.88,90.0,top
D2,Yellow,D_0603,83.42,-52.39,90.0,top
Q1,BC817-25,Q_SOT-23,80.82,-62.6175,180,top
Q2,FDS5670-NL-VB,SO-8 N-channel mosfet FDS5351,75.535,-60.305,180,top
R1,10kΩ,R_0603,80.1,-57.98,180.0,top
R10,4.7Ω,R_1218_3246Metric_Pad1.22x4.75mm_HandSolder,58.832455,-52.4625,-90.0,top
R11,4.7Ω,R_1218_3246Metric_Pad1.22x4.75mm_HandSolder,58.832455,-57.3475,-90.0,top
R12,4.7Ω,R_1218_3246Metric_Pad1.22x4.75mm_HandSolder,58.832455,-62.205,-90.0,top
R13,10Ω,R_0603,74.17,-55.04,180.0,top
R14,4.7Ω,R_1218_3246Metric_Pad1.22x4.75mm_HandSolder,58.832455,-47.6075,270.0,bottom
R15,4.7Ω,R_1218_3246Metric_Pad1.22x4.75mm_HandSolder,58.832455,-52.4625,270.0,bottom
R16,4.7Ω,R_1218_3246Metric_Pad1.22x4.75mm_HandSolder,58.832455,-57.3475,270.0,bottom
R17,4.7Ω,R_1218_3246Metric_Pad1.22x4.75mm_HandSolder,58.832455,-62.205,270.0,bottom
R18,4.7Ω,R_1218_3246Metric_Pad1.22x4.75mm_HandSolder,64.142455,-47.6075,-90.0,top
R19,4.7Ω,R_1218_3246Metric_Pad1.22x4.75mm_HandSolder,64.142455,-52.4625,-90.0,top
R2,100kΩ,R_0603,80.1,-59.7,0.0,top
R20,4.7Ω,R_1218_3246Metric_Pad1.22x4.75mm_HandSolder,64.142455,-57.3475,-90.0,top
R21,4.7Ω,R_1218_3246Metric_Pad1.22x4.75mm_HandSolder,64.142455,-62.205,-90.0,top
R22,4.7Ω,R_1218_3246Metric_Pad1.22x4.75mm_HandSolder,64.142455,-47.6075,270.0,bottom
R23,4.7Ω,R_1218_3246Metric_Pad1.22x4.75mm_HandSolder,64.142455,-52.4625,270.0,bottom
R24,4.7Ω,R_1218_3246Metric_Pad1.22x4.75mm_HandSolder,64.142455,-57.3475,270.0,bottom
R25,4.7Ω,R_1218_3246Metric_Pad1.22x4.75mm_HandSolder,64.142455,-62.205,270.0,bottom
R26,4.7Ω,R_1218_3246Metric_Pad1.22x4.75mm_HandSolder,69.432455,-47.6075,-90.0,top
R27,4.7Ω,R_1218_3246Metric_Pad1.22x4.75mm_HandSolder,69.432455,-52.4625,-90.0,top
R28,4.7Ω,R_1218_3246Metric_Pad1.22x4.75mm_HandSolder,69.432455,-57.3475,-90.0,top
R29,4.7Ω,R_1218_3246Metric_Pad1.22x4.75mm_HandSolder,69.432455,-62.205,-90.0,top
R3,4.7kΩ,R_0603,83.81,-62.71,-90.0,top
R30,4.7Ω,R_1218_3246Metric_Pad1.22x4.75mm_HandSolder,69.432455,-47.6075,270.0,bottom
R31,4.7Ω,R_1218_3246Metric_Pad1.22x4.75mm_HandSolder,69.432455,-52.4625,270.0,bottom
R32,4.7Ω,R_1218_3246Metric_Pad1.22x4.75mm_HandSolder,69.432455,-57.3475,270.0,bottom
R33,4.7Ω,R_1218_3246Metric_Pad1.22x4.75mm_HandSolder,69.432455,-62.205,270.0,bottom
R4,10kΩ,R_0603,83.42,-55.63,90.0,top
R5,10kΩ,R_0603,82.37,-50.03,180.0,top
R6,120kΩ,R_0603,80.41,-55.82,180.0,top
R7,47kΩ,R_0603,79.44,-50.03,0.0,top
R8,1MΩ,R_0603,77.25,-55.05,0.0,top
R9,4.7Ω,R_1218_3246Metric_Pad1.22x4.75mm_HandSolder,58.832455,-47.6075,-90.0,top
U1,MD7680EC0QA3,SOT-23-3L_L2.9-W1.6-P1.90-LS2.8-BL,82.04,-47.08,-90.0,top
U2,CJ431,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,80.54,-52.9125,-90.0,top
U3,EG2131,SOP-8_L4.9-W3.9-P1.27-LS6.0-BL,75.215,-50.38,180.0,top
