Comment,Designator,Footprint,LCSC,Quantity
0Ω,"R6,R7",R_0402,C17168,2
1.5kΩ,"R37,R9",R_0402,C25867,2
1.5pF,"C11,C15",C_0402,C1552,2
100nF,"C30,C31,C32,C38",C_0603,C14663,4
100nF,"C10,C14,C23,C25,C7",C_0402,C1525,5
100nF,"C27,C28,C6",C_0402,C307331,3
100Ω,"R21,R22",R_0402,C25076,2
10kΩ,R11,R_0402,C25744,1
10kΩ,"R33,R36",R_0603,C25804,2
10nF,"C4,C5,C8",C_0402,C15195,3
10uF,C37,C_1206,C13585,1
10uF,"C20,C26",C_0402,C15525,2
120kΩ,R4,R_0603,C25808,1
120Ω,R24,R_0603,C22787,1
13kΩ,R29,R_0603,C22797,1
150kΩ,R1,R_0402,C25755,1
15pF,"C17,C18",C_0402,C1548,2
1nF,"C39,C9",C_0402,C1523,2
1uF,"C21,C29",C_0603,C15849,2
1uF,"C19,C2,C22,C24",C_0402,C52923,4
2.0nH,L1,L0402,C18216,1
2.7nH,L2,L0402,C778766,1
20kΩ,"R12,R30,R32,R38",R_0603,C4184,4
210kΩ,R3,R_0603,C22952,1
3.3kΩ,R31,R_0603,C22978,1
30kΩ,R5,R_0402,C25553,1
330Ω,R15,R_0402,C25104,1
33Ω,"R13,R14",R_0402,C25105,2
4.7kΩ,"R19,R20,R26,R27,R8",R_0402,C25900,5
4.7uF,"C1,C3",C_1206,C29823,2
40Mhz,U4,ESP32 40Mhz Crystal C7206306,C7206306,1
470kΩ,"R28,R34",R_0603,C23178,2
470Ω,"R18,R23,R25",R_0402,C25117,3
47kΩ,R35,R_0603,C25819,1
47pF,C12,C_0402,C1567,1
47uF,"C13,C16",C_0805,C16780,2
5.1kΩ,"R16,R17",R_0402,C25905,2
510Ω,R10,R_0603,C23193,1
68kΩ,R2,R_0402,C36871,1
B0540WS,D9,D_SOD-323,C7420326,1
BC817-25,"Q1,Q2,Q4",Q_SOT-23,C20069154,3
CH224Q,U5,SON-10_L2.0-W2.0-P0.40-TL-EP,C46061833,1
CYA0630-6.8UH,U3,IND-SMD_L7.2-W6.6_GPSR0730,C5189749,1
Conn_01x04_Socket,J6,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,C51940130,1
"Connector, USB-TYPE-C-16P","J1,J3",TYPE-C-SMD_HX-TYPE-C-16PIN,C2927039,2
ES5JBF,D13,D_SMBF,C18199154,1
ESP32-S3,U1,QFN-56-1EP_7x7mm_P0.4mm_EP4x4mm_ThermalVias,C2913196,1
FDS5351,Q3,SO-8 N-channel mosfet FDS5351,C241809,1
Green,D7,D_0805,C2297,1
H5VL10BC,"D10,D2,D3",D_DFN1006-2L,C20615784,3
H5VU10U,D8,D_DFN1006-2L,C22395519,1
LM74700,U8,SOT-23-6,C2941042,1
Red,"D12,D6",D_0603,C2286,2
SM712-02HTG,U9,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,C5449363,1
SMBJ33CA,D14,D_SMB,C19077587,1
SMF30A,D1,D_SOD-123FL,C19077518,1
SP3485EN,U6,SOIC-8_L5.0-W4.0-P1.27-LS6.0-BL,C8963,1
SRV05-4,D11,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL-1,C7420376,1
SS33,D5,D_SMA,C28646294,1
SS34,D4,D_SMA,C8678,1
TPS16630RGER,U7,VQFN-24-1EP_4x4mm_P0.5mm_EP2.5x2.5mm_ThermalVias,C1850279,1
TPS54331DR,U2,SOIC-8_L5.0-W4.0-P1.27-LS6.0-BL,C9865,1
"Tactile Button, 160gf","S1,S2",SW_TS-1088-AR02016,C720477,2
WS2812_2020,LED1,LED_WS2812_2020,C42417600,1
